/home/arise/Desktop/web_design/simulator.py:13: DeprecationWarning: Callback API version 1 is deprecated, update to latest version
  client = mqtt.Client()
🚀 Simulator running — publishing every 5s...

📡 [2026-04-18T02:59:47.015775] Published: {'temperature': 28.36, 'humidity': 58.07, 'co2': 454, 'ch4': 6, 'pressure': 1012, 'light': 850}
📡 [2026-04-18T03:57:22.668407] Published: {'temperature': 29.47, 'humidity': 50.2, 'co2': 381, 'ch4': 1, 'pressure': 992, 'light': 436}
📡 [2026-04-18T03:57:27.669640] Published: {'temperature': 28.85, 'humidity': 78.1, 'co2': 432, 'ch4': 2, 'pressure': 1008, 'light': 503}
📡 [2026-04-18T03:57:32.671214] Published: {'temperature': 25.69, 'humidity': 73.09, 'co2': 619, 'ch4': 9, 'pressure': 1013, 'light': 149}
📡 [2026-04-18T03:57:37.675353] Published: {'temperature': 25.08, 'humidity': 60.59, 'co2': 964, 'ch4': 15, 'pressure': 1003, 'light': 107}
📡 [2026-04-18T03:57:42.676702] Published: {'temperature': 26.06, 'humidity': 56.49, 'co2': 430, 'ch4': 7, 'pressure': 1022, 'light': 139}
📡 [2026-04-18T03:57:47.678117] Published: {'temperature': 24.88, 'humidity': 71.82, 'co2': 445, 'ch4': 10, 'pressure': 1001, 'light': 792}
📡 [2026-04-18T03:57:52.679020] Published: {'temperature': 25.32, 'humidity': 80.33, 'co2': 438, 'ch4': 11, 'pressure': 1011, 'light': 307}
📡 [2026-04-18T03:57:57.679532] Published: {'temperature': 29.39, 'humidity': 68.8, 'co2': 713, 'ch4': 14, 'pressure': 1013, 'light': 657}
📡 [2026-04-18T03:58:02.681020] Published: {'temperature': 25.36, 'humidity': 74.32, 'co2': 450, 'ch4': 11, 'pressure': 994, 'light': 313}
📡 [2026-04-18T03:58:07.682855] Published: {'temperature': 28.5, 'humidity': 87.07, 'co2': 840, 'ch4': 11, 'pressure': 1008, 'light': 434}
📡 [2026-04-18T03:58:12.683876] Published: {'temperature': 27.48, 'humidity': 81.41, 'co2': 790, 'ch4': 8, 'pressure': 992, 'light': 673}
📡 [2026-04-18T03:58:17.684937] Published: {'temperature': 29.75, 'humidity': 79.11, 'co2': 748, 'ch4': 13, 'pressure': 991, 'light': 658}
📡 [2026-04-18T03:58:22.686332] Published: {'temperature': 27.38, 'humidity': 64.38, 'co2': 514, 'ch4': 7, 'pressure': 1008, 'light': 812}
📡 [2026-04-18T03:58:27.687526] Published: {'temperature': 28.3, 'humidity': 60.56, 'co2': 731, 'ch4': 2, 'pressure': 1016, 'light': 259}
📡 [2026-04-18T03:58:32.688722] Published: {'temperature': 26.03, 'humidity': 50.48, 'co2': 793, 'ch4': 2, 'pressure': 1020, 'light': 717}
📡 [2026-04-18T03:58:37.689902] Published: {'temperature': 29.92, 'humidity': 78.63, 'co2': 610, 'ch4': 3, 'pressure': 1006, 'light': 164}
📡 [2026-04-18T03:58:42.690461] Published: {'temperature': 24.09, 'humidity': 70.68, 'co2': 1024, 'ch4': 5, 'pressure': 1004, 'light': 607}
📡 [2026-04-18T03:58:47.691466] Published: {'temperature': 27.6, 'humidity': 54.17, 'co2': 395, 'ch4': 8, 'pressure': 1011, 'light': 396}
📡 [2026-04-18T03:58:52.692479] Published: {'temperature': 24.23, 'humidity': 59.36, 'co2': 495, 'ch4': 15, 'pressure': 1019, 'light': 821}
📡 [2026-04-18T03:58:57.693701] Published: {'temperature': 26.62, 'humidity': 82.05, 'co2': 549, 'ch4': 12, 'pressure': 1013, 'light': 672}
📡 [2026-04-18T03:59:02.694680] Published: {'temperature': 27.0, 'humidity': 73.38, 'co2': 661, 'ch4': 5, 'pressure': 998, 'light': 281}
📡 [2026-04-18T03:59:07.695133] Published: {'temperature': 26.63, 'humidity': 71.81, 'co2': 651, 'ch4': 9, 'pressure': 991, 'light': 764}
📡 [2026-04-18T03:59:12.695533] Published: {'temperature': 24.42, 'humidity': 59.33, 'co2': 949, 'ch4': 11, 'pressure': 1012, 'light': 563}
📡 [2026-04-18T03:59:17.696088] Published: {'temperature': 25.76, 'humidity': 58.42, 'co2': 939, 'ch4': 13, 'pressure': 990, 'light': 554}
📡 [2026-04-18T03:59:22.696481] Published: {'temperature': 27.72, 'humidity': 87.29, 'co2': 694, 'ch4': 4, 'pressure': 997, 'light': 238}
📡 [2026-04-18T03:59:27.696864] Published: {'temperature': 28.77, 'humidity': 59.01, 'co2': 1040, 'ch4': 4, 'pressure': 1023, 'light': 237}
📡 [2026-04-18T03:59:32.697354] Published: {'temperature': 28.85, 'humidity': 67.18, 'co2': 649, 'ch4': 2, 'pressure': 1007, 'light': 457}
📡 [2026-04-18T03:59:37.697963] Published: {'temperature': 29.78, 'humidity': 60.89, 'co2': 664, 'ch4': 11, 'pressure': 1018, 'light': 649}
📡 [2026-04-18T03:59:42.698971] Published: {'temperature': 29.11, 'humidity': 66.91, 'co2': 381, 'ch4': 11, 'pressure': 993, 'light': 247}
📡 [2026-04-18T03:59:47.700086] Published: {'temperature': 27.89, 'humidity': 84.38, 'co2': 1093, 'ch4': 6, 'pressure': 1019, 'light': 100}
📡 [2026-04-18T03:59:52.701149] Published: {'temperature': 26.88, 'humidity': 57.53, 'co2': 647, 'ch4': 8, 'pressure': 996, 'light': 196}
📡 [2026-04-18T03:59:57.701495] Published: {'temperature': 26.76, 'humidity': 68.77, 'co2': 797, 'ch4': 11, 'pressure': 1021, 'light': 958}
📡 [2026-04-18T04:00:02.702208] Published: {'temperature': 29.68, 'humidity': 50.86, 'co2': 691, 'ch4': 12, 'pressure': 1016, 'light': 970}
📡 [2026-04-18T04:00:07.702533] Published: {'temperature': 27.29, 'humidity': 74.25, 'co2': 518, 'ch4': 11, 'pressure': 993, 'light': 926}
📡 [2026-04-18T04:00:12.703510] Published: {'temperature': 25.16, 'humidity': 65.25, 'co2': 375, 'ch4': 13, 'pressure': 1001, 'light': 223}
📡 [2026-04-18T04:00:17.704015] Published: {'temperature': 27.68, 'humidity': 86.75, 'co2': 711, 'ch4': 3, 'pressure': 1001, 'light': 301}
📡 [2026-04-18T04:00:22.704684] Published: {'temperature': 26.43, 'humidity': 80.92, 'co2': 1065, 'ch4': 2, 'pressure': 997, 'light': 922}
📡 [2026-04-18T04:00:27.705163] Published: {'temperature': 24.69, 'humidity': 56.3, 'co2': 915, 'ch4': 2, 'pressure': 1020, 'light': 742}
📡 [2026-04-18T04:00:32.705746] Published: {'temperature': 26.56, 'humidity': 87.99, 'co2': 579, 'ch4': 11, 'pressure': 994, 'light': 328}
📡 [2026-04-18T04:00:37.706386] Published: {'temperature': 26.51, 'humidity': 89.26, 'co2': 804, 'ch4': 10, 'pressure': 1017, 'light': 902}
📡 [2026-04-18T04:00:42.706984] Published: {'temperature': 25.32, 'humidity': 57.68, 'co2': 531, 'ch4': 3, 'pressure': 1008, 'light': 244}
📡 [2026-04-18T04:00:47.707540] Published: {'temperature': 26.88, 'humidity': 58.14, 'co2': 946, 'ch4': 1, 'pressure': 994, 'light': 559}
📡 [2026-04-18T04:00:52.708329] Published: {'temperature': 27.49, 'humidity': 83.17, 'co2': 531, 'ch4': 13, 'pressure': 990, 'light': 651}
📡 [2026-04-18T04:00:57.708782] Published: {'temperature': 27.66, 'humidity': 50.96, 'co2': 855, 'ch4': 11, 'pressure': 1025, 'light': 690}
📡 [2026-04-18T04:01:02.709601] Published: {'temperature': 29.39, 'humidity': 57.53, 'co2': 591, 'ch4': 7, 'pressure': 1013, 'light': 916}
📡 [2026-04-18T04:01:07.709928] Published: {'temperature': 28.78, 'humidity': 87.82, 'co2': 607, 'ch4': 12, 'pressure': 1010, 'light': 324}
📡 [2026-04-18T04:01:12.710459] Published: {'temperature': 25.18, 'humidity': 86.51, 'co2': 834, 'ch4': 10, 'pressure': 993, 'light': 764}
📡 [2026-04-18T04:01:17.711046] Published: {'temperature': 29.89, 'humidity': 51.35, 'co2': 780, 'ch4': 15, 'pressure': 1024, 'light': 522}
📡 [2026-04-18T04:01:22.711786] Published: {'temperature': 25.91, 'humidity': 66.33, 'co2': 797, 'ch4': 10, 'pressure': 991, 'light': 951}
📡 [2026-04-18T04:01:27.712105] Published: {'temperature': 28.28, 'humidity': 51.17, 'co2': 996, 'ch4': 3, 'pressure': 1013, 'light': 425}
📡 [2026-04-18T04:01:32.713151] Published: {'temperature': 27.96, 'humidity': 55.07, 'co2': 430, 'ch4': 7, 'pressure': 1004, 'light': 949}
📡 [2026-04-18T04:01:37.714516] Published: {'temperature': 24.21, 'humidity': 80.0, 'co2': 949, 'ch4': 5, 'pressure': 1001, 'light': 318}
📡 [2026-04-18T04:01:42.715306] Published: {'temperature': 25.45, 'humidity': 53.1, 'co2': 1059, 'ch4': 4, 'pressure': 1001, 'light': 521}
📡 [2026-04-18T04:01:47.716122] Published: {'temperature': 25.42, 'humidity': 84.86, 'co2': 1014, 'ch4': 12, 'pressure': 996, 'light': 667}
📡 [2026-04-18T04:01:52.717283] Published: {'temperature': 27.13, 'humidity': 59.63, 'co2': 938, 'ch4': 5, 'pressure': 1017, 'light': 298}
📡 [2026-04-18T04:01:57.718416] Published: {'temperature': 25.72, 'humidity': 79.12, 'co2': 867, 'ch4': 4, 'pressure': 990, 'light': 822}
📡 [2026-04-18T04:02:02.719486] Published: {'temperature': 28.27, 'humidity': 60.89, 'co2': 400, 'ch4': 1, 'pressure': 1007, 'light': 896}
📡 [2026-04-18T04:02:07.720461] Published: {'temperature': 25.35, 'humidity': 75.71, 'co2': 1068, 'ch4': 1, 'pressure': 999, 'light': 655}
📡 [2026-04-18T04:02:12.722211] Published: {'temperature': 24.35, 'humidity': 51.29, 'co2': 1078, 'ch4': 12, 'pressure': 993, 'light': 186}
📡 [2026-04-18T04:02:17.723243] Published: {'temperature': 29.81, 'humidity': 80.56, 'co2': 950, 'ch4': 14, 'pressure': 1004, 'light': 987}
📡 [2026-04-18T04:02:22.724352] Published: {'temperature': 27.54, 'humidity': 68.69, 'co2': 1089, 'ch4': 14, 'pressure': 1022, 'light': 821}
📡 [2026-04-18T04:02:27.725805] Published: {'temperature': 24.31, 'humidity': 67.16, 'co2': 955, 'ch4': 1, 'pressure': 1003, 'light': 615}
📡 [2026-04-18T04:02:32.726948] Published: {'temperature': 27.9, 'humidity': 73.63, 'co2': 395, 'ch4': 7, 'pressure': 1003, 'light': 462}
📡 [2026-04-18T04:02:37.728294] Published: {'temperature': 25.31, 'humidity': 80.47, 'co2': 418, 'ch4': 13, 'pressure': 1025, 'light': 330}
📡 [2026-04-18T04:02:42.729682] Published: {'temperature': 29.83, 'humidity': 60.72, 'co2': 660, 'ch4': 11, 'pressure': 1016, 'light': 488}
📡 [2026-04-18T04:02:47.730831] Published: {'temperature': 26.99, 'humidity': 59.94, 'co2': 843, 'ch4': 11, 'pressure': 1022, 'light': 189}
📡 [2026-04-18T04:02:52.732016] Published: {'temperature': 27.84, 'humidity': 89.65, 'co2': 872, 'ch4': 10, 'pressure': 1007, 'light': 297}
📡 [2026-04-18T04:02:57.732393] Published: {'temperature': 24.55, 'humidity': 58.34, 'co2': 531, 'ch4': 14, 'pressure': 990, 'light': 430}
📡 [2026-04-18T04:03:02.733512] Published: {'temperature': 28.41, 'humidity': 84.13, 'co2': 412, 'ch4': 4, 'pressure': 998, 'light': 686}
📡 [2026-04-18T04:03:07.735090] Published: {'temperature': 28.19, 'humidity': 50.68, 'co2': 978, 'ch4': 4, 'pressure': 1007, 'light': 106}
📡 [2026-04-18T04:03:12.736216] Published: {'temperature': 29.25, 'humidity': 60.73, 'co2': 773, 'ch4': 13, 'pressure': 1011, 'light': 950}
📡 [2026-04-18T04:03:17.737257] Published: {'temperature': 24.85, 'humidity': 51.74, 'co2': 600, 'ch4': 3, 'pressure': 1013, 'light': 837}
📡 [2026-04-18T04:03:22.738410] Published: {'temperature': 28.46, 'humidity': 73.42, 'co2': 942, 'ch4': 11, 'pressure': 1024, 'light': 175}
📡 [2026-04-18T04:03:27.739772] Published: {'temperature': 29.62, 'humidity': 82.42, 'co2': 803, 'ch4': 15, 'pressure': 1002, 'light': 751}
📡 [2026-04-18T04:03:32.741327] Published: {'temperature': 26.79, 'humidity': 83.99, 'co2': 928, 'ch4': 9, 'pressure': 990, 'light': 240}
📡 [2026-04-18T04:03:37.742895] Published: {'temperature': 27.35, 'humidity': 51.69, 'co2': 411, 'ch4': 3, 'pressure': 995, 'light': 368}
📡 [2026-04-18T04:03:42.744244] Published: {'temperature': 27.04, 'humidity': 55.18, 'co2': 782, 'ch4': 4, 'pressure': 1000, 'light': 121}
📡 [2026-04-18T04:03:47.745200] Published: {'temperature': 25.86, 'humidity': 76.74, 'co2': 771, 'ch4': 10, 'pressure': 1011, 'light': 409}
📡 [2026-04-18T04:03:52.746364] Published: {'temperature': 29.32, 'humidity': 88.73, 'co2': 604, 'ch4': 6, 'pressure': 1023, 'light': 111}
📡 [2026-04-18T04:03:57.746776] Published: {'temperature': 29.82, 'humidity': 69.41, 'co2': 1011, 'ch4': 6, 'pressure': 999, 'light': 176}
📡 [2026-04-18T04:04:02.748162] Published: {'temperature': 24.45, 'humidity': 88.5, 'co2': 1069, 'ch4': 15, 'pressure': 994, 'light': 924}
📡 [2026-04-18T04:04:07.748927] Published: {'temperature': 27.86, 'humidity': 54.14, 'co2': 814, 'ch4': 5, 'pressure': 1024, 'light': 534}
📡 [2026-04-18T04:04:12.749512] Published: {'temperature': 24.75, 'humidity': 82.33, 'co2': 412, 'ch4': 1, 'pressure': 1008, 'light': 786}
📡 [2026-04-18T04:04:17.750201] Published: {'temperature': 27.73, 'humidity': 64.36, 'co2': 1085, 'ch4': 15, 'pressure': 1005, 'light': 188}
📡 [2026-04-18T04:04:22.751009] Published: {'temperature': 25.29, 'humidity': 73.26, 'co2': 753, 'ch4': 12, 'pressure': 1015, 'light': 992}
📡 [2026-04-18T04:04:27.751520] Published: {'temperature': 29.52, 'humidity': 81.75, 'co2': 967, 'ch4': 11, 'pressure': 996, 'light': 849}
📡 [2026-04-18T04:04:32.752887] Published: {'temperature': 24.86, 'humidity': 64.08, 'co2': 903, 'ch4': 4, 'pressure': 1009, 'light': 660}
📡 [2026-04-18T04:04:37.754034] Published: {'temperature': 29.67, 'humidity': 62.0, 'co2': 966, 'ch4': 4, 'pressure': 1011, 'light': 949}
📡 [2026-04-18T04:04:42.755112] Published: {'temperature': 24.14, 'humidity': 54.3, 'co2': 770, 'ch4': 11, 'pressure': 994, 'light': 970}
📡 [2026-04-18T04:04:47.756136] Published: {'temperature': 29.37, 'humidity': 59.21, 'co2': 857, 'ch4': 3, 'pressure': 1014, 'light': 441}
📡 [2026-04-18T04:04:52.757094] Published: {'temperature': 26.45, 'humidity': 79.02, 'co2': 866, 'ch4': 1, 'pressure': 996, 'light': 522}
📡 [2026-04-18T04:04:57.758115] Published: {'temperature': 26.19, 'humidity': 60.98, 'co2': 927, 'ch4': 4, 'pressure': 1000, 'light': 855}
📡 [2026-04-18T04:05:02.759844] Published: {'temperature': 28.43, 'humidity': 65.12, 'co2': 931, 'ch4': 7, 'pressure': 1020, 'light': 796}
📡 [2026-04-18T04:05:07.760996] Published: {'temperature': 26.99, 'humidity': 81.71, 'co2': 885, 'ch4': 13, 'pressure': 1020, 'light': 434}
📡 [2026-04-18T04:05:12.762060] Published: {'temperature': 24.16, 'humidity': 56.64, 'co2': 416, 'ch4': 10, 'pressure': 1018, 'light': 159}
📡 [2026-04-18T04:05:17.763499] Published: {'temperature': 26.46, 'humidity': 87.98, 'co2': 608, 'ch4': 6, 'pressure': 991, 'light': 146}
📡 [2026-04-18T04:05:22.764662] Published: {'temperature': 28.16, 'humidity': 87.54, 'co2': 916, 'ch4': 9, 'pressure': 1019, 'light': 727}
📡 [2026-04-18T04:05:27.765740] Published: {'temperature': 24.9, 'humidity': 70.81, 'co2': 854, 'ch4': 11, 'pressure': 1016, 'light': 571}
📡 [2026-04-18T04:05:32.766902] Published: {'temperature': 24.28, 'humidity': 81.42, 'co2': 713, 'ch4': 2, 'pressure': 998, 'light': 441}
📡 [2026-04-18T04:05:37.767966] Published: {'temperature': 27.75, 'humidity': 81.98, 'co2': 855, 'ch4': 12, 'pressure': 1011, 'light': 741}
📡 [2026-04-18T04:05:42.769162] Published: {'temperature': 24.46, 'humidity': 65.89, 'co2': 1042, 'ch4': 14, 'pressure': 1017, 'light': 468}
📡 [2026-04-18T04:05:47.770147] Published: {'temperature': 29.8, 'humidity': 89.0, 'co2': 519, 'ch4': 2, 'pressure': 997, 'light': 333}
📡 [2026-04-18T04:05:52.771225] Published: {'temperature': 26.41, 'humidity': 69.96, 'co2': 554, 'ch4': 11, 'pressure': 1008, 'light': 206}
📡 [2026-04-18T04:05:57.772199] Published: {'temperature': 24.58, 'humidity': 84.64, 'co2': 995, 'ch4': 6, 'pressure': 1010, 'light': 942}
📡 [2026-04-18T04:06:02.773023] Published: {'temperature': 28.54, 'humidity': 87.69, 'co2': 685, 'ch4': 7, 'pressure': 998, 'light': 692}
📡 [2026-04-18T04:06:07.773719] Published: {'temperature': 27.13, 'humidity': 89.28, 'co2': 522, 'ch4': 11, 'pressure': 1022, 'light': 530}
📡 [2026-04-18T04:06:12.774621] Published: {'temperature': 27.47, 'humidity': 51.61, 'co2': 887, 'ch4': 13, 'pressure': 1018, 'light': 856}
📡 [2026-04-18T04:06:17.775202] Published: {'temperature': 25.24, 'humidity': 54.66, 'co2': 798, 'ch4': 2, 'pressure': 1013, 'light': 363}
📡 [2026-04-18T04:06:22.775967] Published: {'temperature': 24.33, 'humidity': 80.44, 'co2': 1060, 'ch4': 11, 'pressure': 1014, 'light': 241}
📡 [2026-04-18T04:06:27.776874] Published: {'temperature': 28.2, 'humidity': 51.36, 'co2': 1059, 'ch4': 1, 'pressure': 1025, 'light': 642}
📡 [2026-04-18T04:06:32.777868] Published: {'temperature': 27.07, 'humidity': 74.0, 'co2': 476, 'ch4': 11, 'pressure': 992, 'light': 429}
📡 [2026-04-18T04:06:37.778838] Published: {'temperature': 27.63, 'humidity': 55.52, 'co2': 592, 'ch4': 3, 'pressure': 1024, 'light': 623}
📡 [2026-04-18T04:06:42.779537] Published: {'temperature': 24.27, 'humidity': 58.79, 'co2': 660, 'ch4': 6, 'pressure': 1017, 'light': 146}
📡 [2026-04-18T04:06:47.780512] Published: {'temperature': 24.82, 'humidity': 60.41, 'co2': 477, 'ch4': 3, 'pressure': 997, 'light': 857}
📡 [2026-04-18T04:06:52.781110] Published: {'temperature': 25.2, 'humidity': 68.94, 'co2': 945, 'ch4': 8, 'pressure': 991, 'light': 960}
📡 [2026-04-18T04:06:57.782065] Published: {'temperature': 26.37, 'humidity': 84.59, 'co2': 887, 'ch4': 14, 'pressure': 991, 'light': 854}
📡 [2026-04-18T04:07:02.782976] Published: {'temperature': 26.44, 'humidity': 76.8, 'co2': 925, 'ch4': 3, 'pressure': 1023, 'light': 766}
📡 [2026-04-18T04:07:07.783620] Published: {'temperature': 29.49, 'humidity': 85.87, 'co2': 1097, 'ch4': 13, 'pressure': 1003, 'light': 469}
📡 [2026-04-18T04:07:12.784964] Published: {'temperature': 26.32, 'humidity': 52.6, 'co2': 999, 'ch4': 1, 'pressure': 1018, 'light': 801}
📡 [2026-04-18T04:07:17.785584] Published: {'temperature': 28.22, 'humidity': 52.96, 'co2': 667, 'ch4': 10, 'pressure': 1014, 'light': 346}
📡 [2026-04-18T04:07:22.786043] Published: {'temperature': 26.32, 'humidity': 55.24, 'co2': 617, 'ch4': 6, 'pressure': 1019, 'light': 373}
📡 [2026-04-18T04:07:27.787282] Published: {'temperature': 29.38, 'humidity': 51.51, 'co2': 727, 'ch4': 3, 'pressure': 997, 'light': 161}
📡 [2026-04-18T04:07:32.788054] Published: {'temperature': 25.86, 'humidity': 72.38, 'co2': 886, 'ch4': 3, 'pressure': 1002, 'light': 151}
📡 [2026-04-18T04:07:37.788510] Published: {'temperature': 25.98, 'humidity': 52.63, 'co2': 645, 'ch4': 10, 'pressure': 1016, 'light': 145}
📡 [2026-04-18T04:07:42.789096] Published: {'temperature': 25.05, 'humidity': 69.96, 'co2': 602, 'ch4': 2, 'pressure': 1013, 'light': 910}
📡 [2026-04-18T04:07:47.789848] Published: {'temperature': 29.78, 'humidity': 56.64, 'co2': 951, 'ch4': 4, 'pressure': 1002, 'light': 772}
📡 [2026-04-18T04:07:52.790732] Published: {'temperature': 28.16, 'humidity': 56.41, 'co2': 996, 'ch4': 11, 'pressure': 1020, 'light': 336}
📡 [2026-04-18T04:07:57.791460] Published: {'temperature': 28.05, 'humidity': 52.63, 'co2': 876, 'ch4': 5, 'pressure': 1006, 'light': 189}
📡 [2026-04-18T04:08:02.792061] Published: {'temperature': 25.21, 'humidity': 60.49, 'co2': 1037, 'ch4': 3, 'pressure': 1023, 'light': 182}
📡 [2026-04-18T04:08:07.792609] Published: {'temperature': 29.48, 'humidity': 87.91, 'co2': 557, 'ch4': 2, 'pressure': 992, 'light': 191}
📡 [2026-04-18T04:08:12.793859] Published: {'temperature': 25.44, 'humidity': 75.91, 'co2': 463, 'ch4': 14, 'pressure': 1019, 'light': 897}
📡 [2026-04-18T04:08:17.794614] Published: {'temperature': 29.28, 'humidity': 58.51, 'co2': 1020, 'ch4': 14, 'pressure': 1023, 'light': 777}
📡 [2026-04-18T04:08:22.796286] Published: {'temperature': 28.28, 'humidity': 61.3, 'co2': 1046, 'ch4': 6, 'pressure': 1020, 'light': 113}
📡 [2026-04-18T04:08:27.797288] Published: {'temperature': 26.48, 'humidity': 61.72, 'co2': 629, 'ch4': 9, 'pressure': 993, 'light': 857}
📡 [2026-04-18T04:08:32.798487] Published: {'temperature': 25.14, 'humidity': 50.81, 'co2': 582, 'ch4': 8, 'pressure': 1024, 'light': 221}
📡 [2026-04-18T04:08:37.799414] Published: {'temperature': 29.06, 'humidity': 51.77, 'co2': 556, 'ch4': 7, 'pressure': 1023, 'light': 847}
📡 [2026-04-18T04:08:42.799821] Published: {'temperature': 28.43, 'humidity': 78.83, 'co2': 354, 'ch4': 7, 'pressure': 1004, 'light': 790}
📡 [2026-04-18T04:08:47.800468] Published: {'temperature': 24.05, 'humidity': 69.18, 'co2': 449, 'ch4': 7, 'pressure': 1013, 'light': 934}
📡 [2026-04-18T04:08:52.801152] Published: {'temperature': 28.62, 'humidity': 64.37, 'co2': 406, 'ch4': 6, 'pressure': 997, 'light': 738}
📡 [2026-04-18T04:08:57.801753] Published: {'temperature': 24.98, 'humidity': 69.75, 'co2': 690, 'ch4': 8, 'pressure': 1009, 'light': 708}
📡 [2026-04-18T04:09:02.802281] Published: {'temperature': 29.25, 'humidity': 69.13, 'co2': 685, 'ch4': 12, 'pressure': 998, 'light': 784}
📡 [2026-04-18T04:09:07.804480] Published: {'temperature': 26.69, 'humidity': 82.48, 'co2': 499, 'ch4': 7, 'pressure': 1011, 'light': 796}
📡 [2026-04-18T04:09:12.805461] Published: {'temperature': 25.82, 'humidity': 66.37, 'co2': 550, 'ch4': 6, 'pressure': 1006, 'light': 534}
📡 [2026-04-18T04:09:17.806762] Published: {'temperature': 27.94, 'humidity': 56.81, 'co2': 466, 'ch4': 9, 'pressure': 1016, 'light': 660}
📡 [2026-04-18T04:09:22.808002] Published: {'temperature': 25.41, 'humidity': 68.54, 'co2': 621, 'ch4': 9, 'pressure': 1010, 'light': 302}
📡 [2026-04-18T04:09:27.808751] Published: {'temperature': 29.46, 'humidity': 75.78, 'co2': 503, 'ch4': 12, 'pressure': 1004, 'light': 654}
📡 [2026-04-18T04:09:32.809133] Published: {'temperature': 29.59, 'humidity': 56.38, 'co2': 661, 'ch4': 13, 'pressure': 1019, 'light': 804}
📡 [2026-04-18T04:09:37.810265] Published: {'temperature': 25.09, 'humidity': 62.98, 'co2': 881, 'ch4': 5, 'pressure': 997, 'light': 758}
📡 [2026-04-18T04:09:42.810971] Published: {'temperature': 26.92, 'humidity': 72.6, 'co2': 533, 'ch4': 6, 'pressure': 1012, 'light': 863}
📡 [2026-04-18T04:09:47.811486] Published: {'temperature': 25.47, 'humidity': 71.19, 'co2': 632, 'ch4': 11, 'pressure': 1011, 'light': 366}
📡 [2026-04-18T04:09:52.812104] Published: {'temperature': 25.33, 'humidity': 80.96, 'co2': 524, 'ch4': 8, 'pressure': 1023, 'light': 358}
📡 [2026-04-18T04:09:57.812732] Published: {'temperature': 26.8, 'humidity': 52.12, 'co2': 962, 'ch4': 5, 'pressure': 990, 'light': 322}
📡 [2026-04-18T04:10:02.813064] Published: {'temperature': 26.74, 'humidity': 72.21, 'co2': 740, 'ch4': 14, 'pressure': 1019, 'light': 224}
📡 [2026-04-18T04:10:07.814207] Published: {'temperature': 26.3, 'humidity': 86.86, 'co2': 623, 'ch4': 3, 'pressure': 994, 'light': 202}
📡 [2026-04-18T04:10:12.814768] Published: {'temperature': 25.7, 'humidity': 58.86, 'co2': 430, 'ch4': 6, 'pressure': 1022, 'light': 370}
📡 [2026-04-18T04:10:17.815161] Published: {'temperature': 24.63, 'humidity': 88.07, 'co2': 479, 'ch4': 7, 'pressure': 997, 'light': 633}
📡 [2026-04-18T04:10:22.816526] Published: {'temperature': 26.99, 'humidity': 74.95, 'co2': 379, 'ch4': 8, 'pressure': 1012, 'light': 514}
📡 [2026-04-18T04:10:27.817200] Published: {'temperature': 25.59, 'humidity': 71.66, 'co2': 357, 'ch4': 9, 'pressure': 998, 'light': 718}
📡 [2026-04-18T04:10:32.817698] Published: {'temperature': 29.84, 'humidity': 89.41, 'co2': 732, 'ch4': 8, 'pressure': 1009, 'light': 383}
📡 [2026-04-18T04:10:37.818711] Published: {'temperature': 26.6, 'humidity': 58.15, 'co2': 427, 'ch4': 8, 'pressure': 1012, 'light': 812}
📡 [2026-04-18T04:10:42.819620] Published: {'temperature': 24.94, 'humidity': 52.8, 'co2': 743, 'ch4': 1, 'pressure': 1022, 'light': 188}
📡 [2026-04-18T04:10:47.820265] Published: {'temperature': 26.8, 'humidity': 55.73, 'co2': 615, 'ch4': 11, 'pressure': 1009, 'light': 271}
📡 [2026-04-18T04:10:52.821756] Published: {'temperature': 27.65, 'humidity': 61.7, 'co2': 746, 'ch4': 10, 'pressure': 1016, 'light': 839}
📡 [2026-04-18T04:10:57.822795] Published: {'temperature': 24.51, 'humidity': 54.55, 'co2': 671, 'ch4': 8, 'pressure': 1023, 'light': 498}
📡 [2026-04-18T04:11:02.823318] Published: {'temperature': 27.16, 'humidity': 56.89, 'co2': 496, 'ch4': 4, 'pressure': 1013, 'light': 591}
📡 [2026-04-18T04:11:07.824191] Published: {'temperature': 25.93, 'humidity': 51.79, 'co2': 627, 'ch4': 12, 'pressure': 1007, 'light': 705}
📡 [2026-04-18T04:11:12.824845] Published: {'temperature': 27.01, 'humidity': 81.72, 'co2': 678, 'ch4': 11, 'pressure': 1019, 'light': 273}
📡 [2026-04-18T04:11:17.825337] Published: {'temperature': 24.44, 'humidity': 87.57, 'co2': 366, 'ch4': 15, 'pressure': 1021, 'light': 573}
📡 [2026-04-18T04:11:22.826103] Published: {'temperature': 25.53, 'humidity': 64.06, 'co2': 868, 'ch4': 14, 'pressure': 1002, 'light': 641}
📡 [2026-04-18T04:11:27.826928] Published: {'temperature': 25.57, 'humidity': 54.87, 'co2': 1044, 'ch4': 13, 'pressure': 1022, 'light': 659}
📡 [2026-04-18T04:11:32.827487] Published: {'temperature': 24.19, 'humidity': 87.26, 'co2': 1055, 'ch4': 10, 'pressure': 1016, 'light': 743}
📡 [2026-04-18T04:11:37.828559] Published: {'temperature': 29.76, 'humidity': 57.51, 'co2': 917, 'ch4': 3, 'pressure': 1011, 'light': 865}
📡 [2026-04-18T04:11:42.829659] Published: {'temperature': 29.78, 'humidity': 76.87, 'co2': 822, 'ch4': 9, 'pressure': 992, 'light': 155}
